data_num,MQ7,MQ2,MQ4,MQ5,MQ5,MQ3,Label
608,146,67,97,87,86,124,2
609,146,65,95,84,91,124,2
610,146,66,97,85,87,124,2
611,146,66,96,85,87,123,2
612,146,64,97,86,87,125,2
613,146,67,97,86,87,124,2
614,146,65,97,85,86,124,2
615,146,67,97,83,87,124,2
616,145,66,95,85,87,124,2
617,146,65,97,86,91,125,2
618,145,66,96,86,86,124,2
619,146,66,98,85,86,123,2
620,145,66,96,87,86,126,2
621,145,65,96,85,87,125,2
622,145,65,97,85,86,125,2
623,145,68,97,87,87,127,2
624,145,66,96,85,87,124,2
625,145,66,97,86,87,125,2
626,145,66,95,85,87,124,2
627,145,65,97,85,86,125,2
628,145,65,96,86,86,125,2
629,145,66,97,85,88,125,2
630,145,66,97,85,87,127,2
631,145,68,97,89,87,125,2
632,145,65,97,85,87,125,2
633,145,66,97,85,85,126,2
634,145,66,97,84,86,124,2
635,145,65,97,86,87,127,2
636,145,65,97,86,87,126,2
637,145,66,97,86,87,125,2
638,145,66,96,85,87,125,2
639,145,66,97,86,88,125,2
640,146,66,97,83,86,127,2
641,145,66,96,86,86,125,2
642,147,66,98,86,89,125,2
643,146,68,97,87,91,125,2
644,146,66,97,85,87,125,2
645,147,66,97,85,86,125,2
646,146,66,97,85,87,126,2
647,146,66,97,85,86,126,2
648,146,68,97,87,86,131,2
649,146,65,98,86,89,125,2
650,146,66,97,85,87,125,2
651,146,66,97,86,87,125,2
652,147,66,98,86,87,125,2
653,146,66,97,86,85,126,2
654,146,66,97,86,87,128,2
655,146,66,97,86,87,127,2
656,146,66,97,85,86,128,2
657,147,66,97,86,86,125,2
658,146,68,97,86,85,125,2
659,146,65,97,86,86,124,2
660,146,65,97,86,87,127,2
661,146,66,97,86,87,125,2
662,146,65,96,86,87,126,2
663,146,66,97,85,87,125,2
664,146,64,96,84,87,125,2
665,146,66,97,86,85,126,2
666,146,67,95,85,87,124,2
667,146,66,97,86,87,125,2
668,146,65,97,86,85,125,2
669,146,65,97,84,86,124,2
670,146,65,97,86,86,127,2
671,146,65,96,85,86,126,2
672,146,66,96,86,87,125,2
673,146,67,96,88,86,126,2
674,146,66,97,85,86,125,2
675,146,65,97,85,87,126,2
676,147,66,96,86,87,125,2
677,147,66,97,86,86,126,2
678,147,66,97,86,85,125,2
679,146,66,98,86,89,125,2
680,146,66,97,86,87,125,2
681,146,66,96,86,86,125,2
682,146,66,97,85,87,125,2
683,146,65,96,86,92,129,2
684,146,66,97,85,87,125,2
685,146,64,97,84,87,125,2
686,146,67,97,86,87,125,2
687,146,66,97,90,87,125,2
688,146,66,96,86,86,125,2
689,146,67,95,86,87,125,2
690,146,65,97,85,86,125,2
691,146,66,96,86,86,125,2
692,146,66,97,86,87,126,2
693,146,66,97,85,87,126,2
694,146,66,97,86,85,125,2
695,146,66,99,86,88,125,2
696,146,66,97,89,86,125,2
697,146,66,97,86,86,126,2
698,146,66,97,86,87,125,2
699,146,66,97,88,87,125,2
700,146,66,97,85,87,125,2
701,147,66,97,86,88,124,3
702,146,66,97,86,87,125,3
703,146,66,97,86,87,125,3
704,146,66,96,85,86,125,3
705,146,66,97,86,89,123,3
706,146,65,97,86,87,126,3
707,146,66,97,85,86,125,3
708,147,66,99,86,86,124,3
709,146,66,97,85,85,125,3
710,146,66,97,86,88,124,3
711,146,66,97,85,88,124,3
712,147,68,97,87,86,124,3
713,146,68,97,85,87,124,3
714,146,66,96,86,86,124,3
715,146,66,97,86,87,124,3
716,146,66,97,86,86,122,3
717,146,68,97,87,87,124,3
718,146,65,103,86,88,123,3
719,146,66,97,86,85,124,3
720,147,66,97,84,87,124,3
721,146,65,98,84,87,126,3
722,146,66,97,86,87,124,3
723,146,66,97,86,87,124,3
724,147,65,97,86,85,124,3
725,146,66,97,87,87,122,3
726,147,65,97,86,88,124,3
727,147,66,96,86,87,123,3
728,147,66,99,86,88,123,3
729,146,66,97,86,87,123,3
730,147,66,97,86,87,123,3
731,147,66,97,85,86,123,3
732,146,66,97,86,87,123,3
733,146,66,97,85,86,123,3
734,146,66,97,86,85,123,3
735,146,66,97,86,87,123,3
736,146,65,97,86,87,125,3
737,146,68,97,86,87,123,3
738,147,65,97,86,87,122,3
739,146,66,97,87,87,125,3
740,147,66,97,86,87,123,3
741,147,66,98,91,85,123,3
742,147,67,97,86,86,123,3
743,146,66,96,86,87,122,3
744,147,66,97,86,87,125,3
745,147,66,97,86,87,123,3
746,148,66,98,86,87,123,3
747,146,66,97,86,85,124,3
748,146,66,97,86,87,122,3
749,147,65,96,87,87,125,3
750,146,67,97,86,87,123,3
751,147,65,97,85,86,123,3
752,147,67,97,92,86,123,3
753,147,66,97,86,87,124,3
754,147,66,97,86,87,123,3
755,146,66,97,86,85,123,3
756,146,66,97,86,87,122,3
757,146,67,97,87,86,125,3
758,146,66,97,86,87,123,3
759,147,66,98,87,87,124,3
760,146,68,97,87,86,124,3
761,147,68,99,86,88,123,3
762,148,66,97,86,87,123,3
763,149,66,95,86,86,123,3
764,147,66,97,86,87,124,3
765,147,67,97,86,85,123,3
766,146,66,97,86,88,123,3
767,147,67,97,86,88,123,3
768,146,66,97,86,85,123,3
769,146,65,97,86,87,122,3
770,146,67,97,88,87,125,3
771,146,66,97,86,86,123,3
772,147,66,97,86,86,126,3
773,146,66,97,86,87,122,3
774,146,66,97,86,87,122,3
775,146,66,97,87,87,123,3
776,147,67,97,85,86,123,3
777,148,66,97,86,87,122,3
778,146,66,97,87,87,122,3
779,146,66,97,86,86,122,3
780,147,67,97,86,87,122,3
781,146,66,97,86,87,123,3
782,147,66,98,86,88,123,3
783,147,67,99,86,87,123,3
784,146,66,97,91,87,122,3
785,147,65,96,86,87,124,3
786,146,67,97,86,86,123,3
787,147,67,99,86,88,123,3
788,146,66,97,86,87,123,3
789,146,67,97,86,87,123,3
790,146,67,97,87,86,123,3
791,146,67,97,86,87,123,3
792,146,66,97,86,87,122,3
793,146,67,97,88,87,125,3
794,146,67,95,86,87,123,3
795,146,68,99,90,87,124,3
796,146,67,97,86,87,123,3
797,146,67,97,85,86,122,3
798,146,65,97,88,87,123,3
799,146,67,96,86,87,124,3
800,147,67,98,87,86,123,3
801,146,67,97,86,85,124,3
802,146,66,97,86,87,124,3
803,146,67,97,86,87,125,3
804,146,67,98,86,86,124,3
805,146,67,97,84,87,123,3
806,146,67,96,86,86,124,3
807,146,67,97,86,93,123,3
808,146,67,97,86,86,124,3
809,145,67,98,86,86,125,3
810,146,66,99,86,88,123,3
811,146,67,94,86,86,125,3
812,146,67,97,86,87,127,3
813,146,66,97,86,87,124,3
814,145,69,97,87,86,124,3
815,145,67,98,86,86,124,3
816,146,67,97,86,86,125,3
817,145,67,98,87,87,124,3
818,146,67,96,86,86,125,3
819,145,68,97,86,86,124,3
820,145,68,97,85,86,125,3
821,145,67,96,86,82,125,3
822,145,67,97,86,87,125,3
823,145,65,97,87,87,125,3
824,145,66,97,88,87,124,3
825,145,68,97,86,86,124,3
826,145,65,97,87,86,126,3
827,145,70,98,86,87,125,3
828,146,67,98,86,87,125,3
829,144,67,99,87,85,124,3
830,145,66,97,86,87,124,3
831,144,67,97,86,87,130,3
832,145,67,96,86,86,125,3
833,145,66,97,86,87,129,3
834,145,69,97,87,87,125,3
835,145,67,97,86,86,125,3
836,145,67,98,87,86,124,3
837,144,67,96,86,87,125,3
838,145,67,97,86,86,125,3
839,145,67,97,87,87,127,3
840,145,67,97,86,87,125,3
